"AreaName"	"PctPopChange"
"Census Tract 1.10"	-4.4
"Census Tract 1.20"	0.5
"Census Tract 2.10"	-4.2
"Census Tract 2.20"	-3.4
"Census Tract 3.10"	-5.4
"Census Tract 3.20"	-3
"Census Tract 3.30"	-6.1
"Census Tract 4.10"	-2.3
"Census Tract 4.20"	-1.4
"Census Tract 5"	4.8
"Census Tract 6"	0.9
"Census Tract 7.10"	-8.1
"Census Tract 7.20"	-13.3
"Census Tract 7.30"	-21
"Census Tract 8.10"	-9.7
"Census Tract 8.20"	-10.3
"Census Tract 9.10"	-16.4
"Census Tract 9.20"	-19.7
"Census Tract 10"	7.9
"Census Tract 11.10"	9.7
"Census Tract 11.21"	-8
"Census Tract 11.22"	44.4
"Census Tract 12"	10.3
"Census Tract 13"	16.1
"Census Tract 14"	-14.1
"Census Tract 15"	-8.6
"Census Tract 16"	-19
"Census Tract 17"	-1.1
"Census Tract 18.10"	15.5
"Census Tract 18.20"	6
"Census Tract 19.01"	43.8
"Census Tract 19.02"	-3.3
"Census Tract 20"	3.7
"Census Tract 21"	21.6
"Census Tract 22"	31.7
"Census Tract 23"	-19.5
"Census Tract 25.10"	-4.1
"Census Tract 25.20"	-16.5
"Census Tract 26"	-5.5
"Census Tract 27.10"	-56.2
"Census Tract 27.30"	-7.3
"Census Tract 27.40"	0.3
"Census Tract 27.50"	-13.2
"Census Tract 27.60"	-6.4
"Census Tract 27.70"	-3.7
"Census Tract 27.80"	-0.7
"Census Tract 28"	-21.5
"Census Tract 29"	-19.7
"Census Tract 30"	42.5
"Census Tract 32"	17.7
"Census Tract 36"	-16.5
"Census Tract 37"	-20.4
"Census Tract 38"	-9.5
"Census Tract 40"	34
"Census Tract 42"	-4.3
"Census Tract 43"	32.7
"Census Tract 45"	-8.5
"Census Tract 46.10"	-4.9
"Census Tract 46.20"	-10.2
"Census Tract 47"	-9.8
"Census Tract 48.10"	-0.3
"Census Tract 48.20"	-7.4
"Census Tract 49"	-7
"Census Tract 50"	-21.5
"Census Tract 51"	-13.3
"Census Tract 52"	-1.1
"Census Tract 53"	-12.2
"Census Tract 54.10"	-29.8
"Census Tract 54.20"	-15.3
"Census Tract 55"	-21.4
"Census Tract 56.10"	-24.9
"Census Tract 56.20"	-14.4
"Census Tract 57"	15.4
"Census Tract 58.10"	-10.6
"Census Tract 58.20"	-15.9
"Census Tract 59"	-19.4
"Census Tract 60"	-14.9
"Census Tract 61"	-21.7
"Census Tract 62.20"	12.7
"Census Tract 62.30"	140.7
"Census Tract 62.36"	4
"Census Tract 63.10"	2.2
"Census Tract 63.21"	-0.4
"Census Tract 63.23"	0.8
"Census Tract 63.30"	-1.4
"Census Tract 63.40"	-0.9
"Census Tract 63.51"	-3.3
"Census Tract 63.52"	5
"Census Tract 63.53"	2.2
"Census Tract 63.71"	0.6
"Census Tract 63.72"	9.4
"Census Tract 63.83"	20.6
"Census Tract 63.84"	-5.3
"Census Tract 63.86"	8.4
"Census Tract 63.87"	1
"Census Tract 63.91"	15.6
"Census Tract 63.92"	-6.1
"Census Tract 63.93"	-7
"Census Tract 63.94"	-6.1
"Census Tract 63.95"	-4.7
"Census Tract 63.96"	14.6
"Census Tract 64.10"	-1.8
"Census Tract 64.30"	-0.6
"Census Tract 65"	4.4
"Census Tract 66"	0.6
"Census Tract 67.10"	-1.8
"Census Tract 67.21"	-4.3
"Census Tract 67.22"	-2.8
"Census Tract 68.10"	-7.1
"Census Tract 68.21"	-6
"Census Tract 68.22"	-8.4
"Census Tract 69.10"	3.2
"Census Tract 69.21"	-12.5
"Census Tract 69.23"	-2
"Census Tract 69.24"	-2.2
"Census Tract 69.31"	6.3
"Census Tract 69.32"	2.7
"Census Tract 69.33"	4.2
"Census Tract 69.42"	-1.9
"Census Tract 69.43"	1.4
"Census Tract 69.44"	-3.5
"Census Tract 69.45"	6
"Census Tract 69.50"	2.1
"Census Tract 69.90"	-5.6
"Census Tract 70.10"	1.6
"Census Tract 70.20"	-4.9
"Census Tract 70.41"	-0.9
"Census Tract 70.43"	21.9
"Census Tract 70.44"	9.4
"Census Tract 70.47"	8
"Census Tract 70.48"	12.3
"Census Tract 71.12"	37.1
"Census Tract 71.13"	13.2
"Census Tract 71.14"	21.4
"Census Tract 71.15"	6.7
"Census Tract 71.20"	3.8
"Census Tract 71.32"	18.1
"Census Tract 71.93"	-2.7
"Census Tract 71.94"	-4.2
"Census Tract 71.98"	3.1
"Census Tract 71.99"	-2.4
"Census Tract 72.01"	-10.2
"Census Tract 72.02"	-5.6
"Census Tract 72.03"	131.4
"Census Tract 72.05"	1634
"Census Tract 72.07"	251
"Census Tract 72.09"	621.4
"Census Tract 72.10"	60.8
"Census Tract 73.93"	28.3
"Census Tract 73.94"	39.2
"Census Tract 73.95"	122
"Census Tract 73.96"	409.3
"Census Tract 74.24"	8.1
"Census Tract 74.25"	-3.7
"Census Tract 74.26"	-5.3
"Census Tract 74.27"	-3.6
"Census Tract 74.92"	-5.6
"Census Tract 74.94"	-4.7
"Census Tract 75.11"	11.6
"Census Tract 75.12"	6.6
"Census Tract 75.20"	-0.5
"Census Tract 75.31"	-5.2
"Census Tract 75.32"	-7.4
"Census Tract 75.33"	-6.6
"Census Tract 75.34"	3.2
"Census Tract 75.50"	37.2
"Census Tract 75.51"	141.5
"Census Tract 77.10"	-5.4
"Census Tract 77.21"	-14.2
"Census Tract 77.22"	-4.5
"Census Tract 77.30"	2.9
"Census Tract 77.40"	-1.3
"Census Tract 78.11"	-1.8
"Census Tract 78.12"	-5.8
"Census Tract 78.20"	-3.2
"Census Tract 78.30"	2.6
"Census Tract 79.21"	59.7
"Census Tract 79.22"	-5.2
"Census Tract 79.31"	0.5
"Census Tract 79.33"	0.9
"Census Tract 79.41"	-0.7
"Census Tract 79.51"	12.2
"Census Tract 79.52"	-1.4
"Census Tract 79.53"	9.7
"Census Tract 79.54"	32.1
"Census Tract 80"	20.5
"Census Tract 81.10"	-11.7
"Census Tract 81.20"	0.8
"Census Tract 81.32"	0.8
"Census Tract 81.41"	66.7
"Census Tract 81.42"	78
"Census Tract 81.61"	39.8
"Census Tract 81.62"	15.6
"Census Tract 81.63"	16.2
"Census Tract 81.64"	-9.4
"Census Tract 82.10"	0.7
"Census Tract 82.30"	-59.4
"Census Tract 82.41"	18.8
"Census Tract 82.42"	7
"Census Tract 83.11"	21.8
"Census Tract 83.12"	8.9
"Census Tract 83.21"	1
"Census Tract 83.22"	-0.5
"Census Tract 83.30"	-6.3
"Census Tract 83.40"	8.1
"Census Tract 83.50"	22.3
"Census Tract 83.60"	7.4
"Census Tract 83.70"	32.1
"Census Tract 83.80"	45.5
"Census Tract 84"	-6.4
"Census Tract 85"	-0.4
"Census Tract 87.10"	-3.2
"Census Tract 87.20"	-7.5
"Census Tract 87.30"	-14.5
"Census Tract 88.11"	-3.5
"Census Tract 88.12"	-1.7
"Census Tract 88.13"	-2.9
"Census Tract 88.21"	-0.6
"Census Tract 88.22"	5.7
"Census Tract 88.25"	-1.8
"Census Tract 89"	-0.2
"Census Tract 90"	0.4
"Census Tract 91"	-2.7
"Census Tract 92.10"	11.4
"Census Tract 92.20"	-7.2
"Census Tract 92.30"	-5
"Census Tract 92.40"	-4.2
"Census Tract 92.50"	-3.4
"Census Tract 93.11"	1.1
"Census Tract 93.12"	-10.6
"Census Tract 93.21"	4.9
"Census Tract 93.22"	-5.2
"Census Tract 93.23"	-12.2
"Census Tract 93.25"	12.4
"Census Tract 93.26"	-2.7
"Census Tract 93.31"	-44.3
"Census Tract 93.32"	9.1
"Census Tract 93.33"	-7.8
"Census Tract 93.34"	-9.1
"Census Tract 93.36"	7.2
"Census Tract 93.37"	-2.8
"Census Tract 93.40"	-1.6
"Census Tract 93.50"	-0.5
"Census Tract 93.61"	14.1
"Census Tract 93.62"	-2.5
"Census Tract 93.71"	4
"Census Tract 93.72"	-5.9
"Census Tract 93.73"	53
"Census Tract 93.74"	16.8
"Census Tract 93.81"	-5.7
"Census Tract 93.82"	-7.4
"Census Tract 93.83"	-2.4
"Census Tract 93.84"	0
"Census Tract 93.85"	0.8
"Census Tract 93.86"	-7.3
"Census Tract 93.90"	27
"Census Tract 94.10"	-3.9
"Census Tract 94.20"	-6.7
"Census Tract 94.30"	40.8
"Census Tract 94.40"	31.3
"Census Tract 94.50"	52.8
"Census Tract 94.95"	19.1
"Census Tract 94.97"	-7.7
"Census Tract 95.20"	24.7
"Census Tract 95.90"	9.3
"Census Tract 96"	-3.5
"Census Tract 97.11"	-6.4
"Census Tract 97.12"	-1.8
"Census Tract 97.20"	5.5
"Census Tract 97.40"	72.5
"Census Tract 97.51"	77.5
"Census Tract 97.52"	52
"Census Tract 98"	-3.4
"Census Tract 99"	15.4
"Census Tract 100"	3.9
"Census Tract 101"	111.6
"Census Tract 102"	159.2
"Census Tract 103"	-1.2
"Census Tract 104"	41
"Census Tract 105"	2.4
"Census Tract 106.01"	128.1
"Census Tract 106.02"	3
"Census Tract 107"	-1.4
"Census Tract 9800"	100
